monoisotope,isotope_1,isotope_2,isotope_type_1,isotope_type_2,charge_1,charge_2
1034.48708622847,0.0,0.0,0.0,0.0,0.0,0.0
1034.57317943272,1035.57699379107,0.0,1.0,0.0,1.0,0.0
1068.50588830401,0.0,0.0,0.0,0.0,0.0,0.0
1116.51497269184,0.0,0.0,0.0,0.0,0.0,0.0
1118.48466910201,1119.48749701745,0.0,1.0,0.0,1.0,0.0
1120.5117793956,0.0,0.0,0.0,0.0,0.0,0.0
1126.51739146478,0.0,0.0,0.0,0.0,0.0,0.0
1137.51908837444,0.0,0.0,0.0,0.0,0.0,0.0
1138.51053788301,0.0,0.0,0.0,0.0,0.0,0.0
1139.56403210842,0.0,0.0,0.0,0.0,0.0,0.0
1143.52641038213,0.0,0.0,0.0,0.0,0.0,0.0
1160.49723755827,0.0,0.0,0.0,0.0,0.0,0.0
1164.49528675536,0.0,0.0,0.0,0.0,0.0,0.0
1173.51914276948,0.0,0.0,0.0,0.0,0.0,0.0
1179.53795741148,0.0,0.0,0.0,0.0,0.0,0.0
1180.52791213112,0.0,0.0,0.0,0.0,0.0,0.0
1181.52360738139,0.0,0.0,0.0,0.0,0.0,0.0
1202.50317553363,0.0,0.0,0.0,0.0,0.0,0.0
1203.53066560493,0.0,0.0,0.0,0.0,0.0,0.0
1204.52894302292,0.0,0.0,0.0,0.0,0.0,0.0
1211.59926388722,0.0,0.0,0.0,0.0,0.0,0.0
1226.5492623393,0.0,0.0,0.0,0.0,0.0,0.0
1233.55284564503,0.0,0.0,0.0,0.0,0.0,0.0
1242.57415281705,1243.56616794192,0.0,1.0,0.0,1.0,0.0
1244.55607518042,0.0,0.0,0.0,0.0,0.0,0.0
1248.54938527534,0.0,0.0,0.0,0.0,0.0,0.0
1249.55084064661,0.0,0.0,0.0,0.0,0.0,0.0
1257.5707130094,0.0,0.0,0.0,0.0,0.0,0.0
1264.54408962637,1265.5455521337,0.0,1.0,0.0,1.0,0.0
1283.59953037699,1284.5948855056,1285.58618253418,1.0,1.0,1.0,1.0
1286.59591878053,1287.58601176191,0.0,1.0,0.0,1.0,0.0
1299.56963013076,0.0,0.0,0.0,0.0,0.0,0.0
1302.63294921438,1303.62294090284,0.0,1.0,0.0,1.0,0.0
1304.60738950977,0.0,0.0,0.0,0.0,0.0,0.0
1305.5796017481,1306.56785909994,0.0,1.0,0.0,1.0,0.0
1321.55716688942,1322.55909784936,0.0,1.0,0.0,1.0,0.0
1324.60336908079,1326.59748812354,0.0,2.0,0.0,1.0,0.0
1325.59992502498,0.0,0.0,0.0,0.0,0.0,0.0
1337.55258248443,0.0,0.0,0.0,0.0,0.0,0.0
1340.5948127452,0.0,0.0,0.0,0.0,0.0,0.0
1343.65025134627,1344.57993694739,1344.67508606632,1.0,1.0,1.0,1.0
1345.61994478063,0.0,0.0,0.0,0.0,0.0,0.0
1348.59200013811,0.0,0.0,0.0,0.0,0.0,0.0
1349.58851201874,0.0,0.0,0.0,0.0,0.0,0.0
1350.60947871501,0.0,0.0,0.0,0.0,0.0,0.0
1351.59942217373,0.0,0.0,0.0,0.0,0.0,0.0
1352.59996659031,0.0,0.0,0.0,0.0,0.0,0.0
1359.58318535203,1360.58282026095,0.0,1.0,0.0,1.0,0.0
1364.5824292212,0.0,0.0,0.0,0.0,0.0,0.0
1365.62015693925,0.0,0.0,0.0,0.0,0.0,0.0
1366.62041214289,0.0,0.0,0.0,0.0,0.0,0.0
1367.61587419147,1368.62052004947,0.0,1.0,0.0,1.0,0.0
1369.61890293048,0.0,0.0,0.0,0.0,0.0,0.0
1380.63225787184,0.0,0.0,0.0,0.0,0.0,0.0
1381.62811839478,1382.62629865774,0.0,1.0,0.0,1.0,0.0
1383.61773629145,1384.6164096118,0.0,1.0,0.0,1.0,0.0
1386.62220468928,0.0,0.0,0.0,0.0,0.0,0.0
