fid,qq,var,outliers
290,ok,ok,ok
291,problem,ok,ok
292,problem,problem,ok
293,ok,ok,ok
294,ok,ok,ok
295,ok,ok,ok
296,ok,ok,ok
297,ok,ok,ok
298,ok,ok,ok
299,ok,ok,ok
300,ok,ok,ok
301,ok,ok,ok
302,ok,ok,ok
303,ok,ok,ok
304,problem,ok,ok
305,problem,problem,ok
306,ok,problem,ok
307,ok,ok,ok
308,problem,ok,ok
309,ok,ok,ok
310,ok,ok,ok
311,ok,ok,ok
312,ok,ok,ok
313,ok,ok,ok
314,ok,ok,ok
315,ok,ok,ok
316,problem,ok,ok
317,ok,problem,problem
318,ok,ok,ok
319,ok,ok,ok
320,ok,ok,ok
321,ok,ok,ok
322,ok,ok,ok
323,ok,ok,ok
324,problem,ok,ok
325,ok,ok,ok
326,ok,ok,ok
327,ok,ok,ok
328,ok,ok,ok
329,ok,ok,ok
330,ok,ok,ok
331,ok,ok,ok
332,ok,ok,ok
333,ok,ok,ok
334,ok,ok,ok
335,ok,ok,ok
336,ok,ok,ok
337,ok,ok,ok
338,problem,ok,ok
339,ok,ok,ok
340,problem,ok,problem
341,problem,ok,ok
342,ok,ok,ok
343,ok,ok,ok
344,problem,ok,ok
345,problem,ok,ok
346,problem,ok,ok
347,problem,ok,problem
348,ok,ok,ok
349,ok,ok,ok
350,ok,ok,ok
351,ok,ok,ok
352,ok,ok,ok
353,ok,ok,ok
354,ok,ok,ok
355,ok,ok,ok
356,ok,ok,ok
357,ok,ok,ok
358,ok,ok,ok
359,problem,ok,problem
360,ok,problem,problem
361,ok,ok,ok
362,ok,ok,ok
363,ok,ok,ok
364,ok,ok,ok
365,ok,ok,ok
366,ok,ok,ok
367,ok,ok,ok
368,ok,ok,ok
369,ok,ok,ok
370,ok,ok,ok
371,ok,ok,ok
372,problem,ok,problem
373,ok,ok,ok
374,ok,ok,ok
375,ok,ok,ok
376,problem,ok,ok
377,ok,ok,ok
378,ok,ok,ok
379,ok,ok,ok
380,problem,ok,problem
381,ok,ok,ok
382,ok,ok,ok
383,ok,ok,ok
384,ok,ok,ok
385,problem,problem,problem
386,ok,ok,ok
387,ok,ok,ok
388,ok,ok,ok
389,problem,ok,ok
390,ok,ok,ok
391,ok,ok,ok
392,ok,ok,ok
393,ok,ok,ok
394,ok,ok,ok
395,ok,ok,ok
396,ok,ok,ok
397,ok,ok,ok
398,ok,ok,ok
399,problem,ok,ok
400,ok,ok,ok
401,ok,ok,ok
402,ok,ok,ok
403,problem,ok,ok
404,ok,ok,ok
405,ok,ok,ok
406,ok,ok,ok
407,ok,ok,ok
408,problem,ok,ok
409,ok,ok,ok
410,ok,ok,ok
411,problem,ok,problem
412,problem,ok,ok
413,ok,ok,ok
414,problem,ok,problem
415,ok,ok,ok
416,ok,ok,ok
417,ok,ok,ok
418,ok,ok,ok
419,ok,ok,ok
420,ok,ok,ok
421,ok,ok,ok
422,ok,ok,ok
423,ok,ok,ok
424,ok,ok,ok
425,problem,problem,ok
426,problem,ok,ok
427,ok,ok,ok
428,problem,ok,ok
429,ok,ok,ok
430,ok,ok,ok
431,problem,ok,ok
432,problem,ok,ok
433,ok,ok,ok
434,ok,ok,ok
435,ok,ok,ok
436,problem,ok,ok
437,problem,ok,ok
438,ok,ok,ok
439,ok,ok,ok
440,ok,ok,ok
441,problem,problem,ok
442,problem,ok,ok
443,ok,ok,ok
444,ok,ok,ok
445,ok,ok,ok
446,ok,ok,ok
447,problem,ok,ok
448,problem,ok,ok
449,ok,ok,ok
450,ok,ok,ok
451,ok,ok,ok
452,ok,ok,ok
453,problem,ok,ok
454,ok,ok,ok
455,ok,ok,ok
456,problem,problem,ok
457,ok,ok,ok
458,ok,ok,ok
459,problem,ok,ok
460,ok,ok,ok
461,ok,ok,problem
462,ok,ok,ok
463,ok,ok,ok
464,problem,ok,ok
465,ok,ok,ok
466,problem,ok,ok
467,ok,ok,ok
468,ok,ok,ok
469,ok,ok,ok
470,ok,ok,ok
471,ok,ok,ok
472,ok,ok,ok
473,ok,ok,ok
474,ok,ok,ok
475,ok,ok,ok
476,ok,ok,ok
477,problem,problem,ok
478,ok,ok,ok
479,ok,ok,ok
480,ok,ok,ok
481,ok,ok,ok
482,ok,ok,ok
483,problem,problem,ok
484,ok,ok,ok
485,ok,ok,ok
486,ok,ok,ok
487,ok,ok,ok
488,ok,ok,ok
489,problem,problem,ok
490,ok,ok,ok
491,ok,ok,ok
492,ok,ok,ok
493,ok,ok,ok
494,ok,ok,ok
495,ok,ok,ok
496,problem,ok,ok
497,ok,ok,ok
498,problem,ok,ok
499,ok,ok,ok
500,ok,ok,ok
501,ok,ok,ok
502,ok,ok,problem
503,ok,ok,problem
504,ok,ok,ok
505,problem,ok,problem
506,problem,ok,ok
507,ok,ok,ok
508,ok,ok,ok
509,ok,ok,ok
510,ok,ok,ok
511,ok,problem,problem
512,problem,problem,ok
513,problem,ok,ok
514,problem,problem,ok
515,ok,ok,ok
516,ok,ok,ok
517,ok,ok,ok
518,problem,ok,ok
519,problem,ok,ok
520,problem,ok,ok
521,ok,ok,ok
522,problem,problem,ok
523,ok,ok,ok
524,ok,ok,ok
525,problem,problem,ok
526,problem,ok,ok
527,problem,ok,ok
528,ok,ok,ok
529,ok,ok,ok
530,problem,ok,problem
531,ok,ok,ok
532,ok,ok,ok
533,ok,ok,ok
534,ok,ok,ok
535,ok,ok,ok
536,ok,ok,ok
537,ok,ok,ok
538,ok,ok,ok
539,problem,ok,ok
540,ok,problem,problem
541,ok,ok,ok
542,ok,ok,ok
543,ok,ok,ok
544,ok,ok,ok
545,ok,ok,ok
546,ok,ok,ok
547,problem,ok,ok
548,ok,ok,ok
549,ok,ok,ok
550,ok,ok,ok
551,ok,ok,ok
552,ok,ok,ok
553,ok,ok,ok
554,ok,ok,ok
555,ok,ok,ok
556,ok,ok,ok
557,ok,ok,ok
558,problem,ok,ok
559,problem,ok,ok
560,ok,ok,ok
