"fid","mz","qq","var","outliers"
206,1693.77660537614,"problem","ok","ok"
207,1696.78891575033,"ok","ok","problem"
208,1697.81301550982,"ok","ok","ok"
209,1700.77165878847,"ok","ok","ok"
210,1701.71671261031,"ok","ok","ok"
211,1701.79930789916,"ok","ok","ok"
212,1702.75381009979,"ok","ok","ok"
213,1704.77212400387,"ok","ok","ok"
214,1705.7665212743,"ok","ok","ok"
215,1706.75384927582,"ok","ok","ok"
216,1707.75608697177,"ok","ok","ok"
217,1708.7694104573,"ok","ok","ok"
218,1709.77439055933,"ok","ok","ok"
219,1710.77103412428,"ok","ok","ok"
220,1711.7578829797,"ok","ok","ok"
221,1712.76216244202,"ok","ok","ok"
222,1713.74749235374,"ok","ok","ok"
223,1714.74593204616,"ok","ok","ok"
224,1715.7564538998,"ok","ok","ok"
225,1716.75708727923,"ok","ok","ok"
226,1717.75382165999,"ok","ok","ok"
227,1718.75699320379,"ok","ok","ok"
228,1719.75895890246,"problem","ok","ok"
229,1719.8311328432,"ok","problem","ok"
230,1721.77569814595,"ok","ok","ok"
231,1722.75808897905,"ok","ok","ok"
232,1723.74926385517,"ok","ok","ok"
233,1724.7676295026,"ok","ok","ok"
234,1725.76473106004,"ok","ok","ok"
235,1726.76250782696,"ok","ok","ok"
236,1727.74803690285,"problem","ok","ok"
237,1728.71490502947,"problem","ok","ok"
238,1728.78971805516,"ok","ok","ok"
239,1729.72209555104,"ok","ok","ok"
240,1729.79430338862,"ok","ok","ok"
241,1731.7454302864,"problem","ok","ok"
242,1733.75003803592,"ok","problem","problem"
243,1734.75308210766,"ok","ok","ok"
244,1735.76508856403,"ok","ok","ok"
245,1736.76909205738,"ok","ok","ok"
246,1737.7596556979,"problem","problem","problem"
247,1738.75721838385,"problem","ok","ok"
248,1739.75643901059,"ok","ok","ok"
249,1740.75803531534,"ok","ok","ok"
250,1741.75341463692,"ok","ok","ok"
251,1742.75436953577,"ok","ok","ok"
252,1743.74757508916,"ok","ok","ok"
253,1744.74570058127,"problem","ok","ok"
254,1745.74532383577,"ok","ok","ok"
255,1746.75484308428,"ok","ok","ok"
256,1747.75613940468,"problem","ok","ok"
257,1748.75400339567,"ok","ok","ok"
258,1749.74969023653,"ok","ok","ok"
259,1750.75810383288,"ok","ok","ok"
260,1751.75724817316,"ok","ok","ok"
261,1752.75815853381,"ok","ok","ok"
262,1753.74658797855,"problem","ok","ok"
263,1754.74673099787,"ok","ok","ok"
264,1755.70956322676,"ok","ok","ok"
265,1755.78382422786,"problem","ok","ok"
266,1756.71182374673,"problem","ok","ok"
267,1756.78348943079,"problem","ok","ok"
268,1757.71448543507,"ok","ok","ok"
269,1757.78510670712,"ok","ok","ok"
270,1758.7527368418,"ok","ok","ok"
271,1759.75119755721,"ok","ok","ok"
272,1760.75130073592,"ok","ok","ok"
273,1761.75375739529,"ok","ok","ok"
274,1762.77711551712,"problem","ok","ok"
275,1763.79283464948,"ok","ok","ok"
276,1765.780762612,"problem","ok","ok"
277,1766.76329657916,"ok","ok","ok"
278,1769.75432233434,"ok","ok","ok"
279,1770.76903933278,"problem","ok","ok"
280,1771.76038146619,"problem","ok","ok"
281,1772.77995237831,"ok","ok","ok"
282,1775.7643212564,"ok","ok","ok"
283,1776.75836872378,"problem","ok","ok"
284,1777.75460124888,"ok","ok","ok"
285,1784.7854620815,"ok","ok","ok"
286,1785.78912008356,"ok","ok","ok"
287,1789.79227943772,"ok","ok","ok"
288,1793.76235119695,"problem","ok","ok"
289,1794.76922827082,"problem","problem","ok"
290,1795.7705271946,"ok","ok","ok"
291,1796.77331771929,"ok","ok","ok"
292,1797.76969001918,"ok","ok","ok"
293,1801.78024696699,"ok","ok","ok"
294,1805.80558485062,"ok","ok","ok"
295,1810.77286616272,"ok","ok","ok"
296,1811.77742428044,"ok","ok","ok"
297,1812.78829937543,"ok","ok","ok"
298,1813.79622069456,"ok","ok","ok"
299,1814.79678670795,"ok","ok","ok"
300,1815.7883100926,"ok","ok","ok"
301,1816.78078557537,"problem","ok","ok"
302,1819.8220304043,"problem","problem","ok"
303,1820.82211514007,"ok","problem","ok"
304,1821.82047994064,"ok","ok","ok"
305,1822.81786734419,"problem","ok","ok"
306,1823.79435042078,"ok","ok","ok"
307,1824.79272733159,"ok","ok","ok"
308,1825.791651354,"ok","ok","ok"
309,1826.79394303875,"ok","ok","ok"
310,1827.79719015605,"ok","ok","ok"
311,1828.79889495573,"ok","ok","ok"
312,1830.85027468754,"ok","ok","ok"
313,1832.82949680002,"problem","ok","ok"
314,1833.81756984649,"ok","problem","problem"
315,1834.81184038474,"ok","ok","ok"
316,1835.84720199155,"ok","ok","ok"
317,1836.81538424964,"ok","ok","ok"
318,1837.81239927525,"ok","ok","ok"
319,1838.82897901407,"ok","ok","ok"
320,1839.82772122683,"ok","ok","ok"
321,1840.81965416578,"problem","ok","ok"
322,1841.82878173802,"ok","ok","ok"
323,1842.81873799139,"ok","ok","ok"
324,1843.82609928393,"ok","ok","ok"
325,1844.81388877555,"ok","ok","ok"
326,1845.80611404511,"ok","ok","ok"
327,1846.80456747088,"ok","ok","ok"
328,1850.81698197173,"ok","ok","ok"
329,1851.83160488772,"ok","ok","ok"
330,1852.83376650753,"ok","ok","ok"
331,1853.84126389787,"ok","ok","ok"
332,1854.83704431602,"ok","ok","ok"
333,1855.80338732633,"ok","ok","ok"
334,1856.86975487355,"ok","ok","ok"
335,1859.81207382949,"ok","ok","ok"
336,1859.90133932996,"problem","ok","problem"
337,1860.82921317717,"problem","ok","ok"
338,1861.82310418267,"ok","ok","ok"
339,1862.81961385086,"ok","ok","ok"
340,1863.82204245305,"problem","ok","ok"
341,1864.82500497717,"problem","ok","ok"
342,1865.82148202692,"problem","ok","ok"
343,1866.82377969284,"problem","ok","problem"
344,1867.83468816782,"ok","ok","ok"
345,1868.83111452333,"ok","ok","ok"
346,1869.82870394159,"ok","ok","ok"
347,1870.82356518611,"ok","ok","ok"
348,1871.8211091291,"ok","ok","ok"
349,1872.82171392194,"ok","ok","ok"
350,1873.82678815821,"ok","ok","ok"
351,1874.82382213285,"ok","ok","ok"
352,1875.82081554148,"ok","ok","ok"
353,1876.82226146345,"ok","ok","ok"
354,1877.82381006582,"ok","ok","ok"
355,1880.84623179355,"problem","ok","problem"
356,1884.83936145384,"ok","problem","problem"
357,1885.83786649659,"ok","ok","ok"
358,1886.83513394193,"ok","ok","ok"
359,1888.82984222929,"ok","ok","ok"
360,1889.83596406731,"ok","ok","ok"
361,1891.83769057717,"ok","ok","ok"
362,1892.83048550494,"ok","ok","ok"
363,1893.83040142842,"ok","ok","ok"
364,1894.83282623119,"ok","ok","ok"
365,1895.83271531229,"ok","ok","ok"
366,1896.83611620714,"ok","ok","ok"
367,1897.83445225096,"problem","ok","problem"
368,1898.82932462616,"ok","ok","ok"
369,1899.82738005985,"ok","ok","ok"
370,1900.82912137151,"ok","ok","ok"
371,1901.82895194943,"problem","ok","ok"
372,1902.82602160453,"ok","ok","ok"
373,1905.84059415546,"ok","ok","ok"
374,1907.84261207684,"ok","ok","ok"
375,1908.84040804658,"problem","ok","problem"
376,1911.8368601327,"ok","ok","ok"
377,1912.84151208335,"ok","ok","ok"
378,1917.83746117907,"ok","ok","ok"
379,1918.84136984309,"ok","ok","ok"
380,1922.86500038849,"ok","ok","ok"
381,1924.8635615871,"ok","ok","ok"
382,1927.85161954536,"ok","ok","ok"
383,1928.84680723902,"problem","ok","ok"
384,1929.84717411963,"ok","ok","ok"
385,1930.84240162752,"ok","ok","ok"
386,1933.8655074996,"ok","ok","ok"
387,1934.87950322034,"ok","ok","ok"
388,1935.88124438962,"ok","ok","ok"
389,1936.87431207004,"ok","ok","ok"
390,1937.87328781308,"ok","ok","ok"
391,1938.86493260704,"ok","ok","ok"
392,1939.86020025668,"problem","ok","ok"
393,1940.85638899803,"ok","ok","ok"
394,1941.85528033501,"ok","ok","ok"
395,1943.87579985621,"ok","ok","ok"
396,1945.86051819394,"problem","ok","ok"
397,1946.85004410038,"ok","ok","ok"
398,1947.8515662799,"ok","ok","ok"
399,1948.85353408796,"ok","ok","ok"
400,1949.85890372958,"ok","ok","ok"
401,1952.86762737747,"problem","ok","ok"
402,1953.86566592701,"ok","ok","ok"
403,1954.85820316324,"ok","ok","ok"
404,1955.86197991862,"problem","ok","problem"
405,1956.86943039266,"problem","ok","ok"
406,1957.88429145629,"ok","ok","ok"
407,1958.88184621285,"problem","ok","problem"
408,1959.87012879767,"ok","ok","ok"
409,1960.85599740394,"ok","ok","ok"
410,1961.84714072311,"ok","ok","ok"
411,1962.84000104082,"ok","ok","ok"
412,1966.87981597147,"ok","ok","ok"
413,1967.87110776408,"ok","ok","ok"
414,1968.85703371616,"ok","ok","ok"
415,1969.85302515176,"ok","ok","ok"
416,1970.84980796107,"ok","ok","ok"
417,1971.86765637381,"ok","ok","ok"
418,1972.87464729327,"problem","problem","ok"
419,1973.87167091919,"problem","ok","ok"
420,1974.85830123771,"ok","ok","ok"
421,1975.86405659279,"problem","ok","ok"
422,1976.87191907015,"ok","ok","ok"
423,1977.88097867494,"ok","ok","ok"
424,1978.89932812622,"problem","ok","ok"
425,1979.89019703161,"problem","ok","ok"
426,1980.86507069552,"ok","ok","ok"
427,1981.8604683225,"ok","ok","ok"
428,1982.85733481196,"ok","ok","ok"
429,1983.85279084984,"problem","ok","ok"
430,1984.84257674777,"problem","ok","ok"
431,1985.85007746833,"ok","ok","ok"
432,1986.85122944489,"ok","ok","ok"
433,1987.85594758198,"ok","ok","ok"
434,1988.85858197234,"problem","problem","ok"
435,1989.85934430796,"problem","ok","ok"
436,1990.85673078518,"ok","ok","ok"
437,1991.8592959259,"ok","ok","ok"
438,1992.86310116592,"ok","ok","ok"
439,1993.87943954528,"ok","ok","ok"
440,1994.88884780025,"problem","ok","ok"
441,1995.88298842577,"problem","ok","ok"
442,1996.87041990968,"ok","ok","ok"
443,1997.88015860818,"ok","ok","ok"
444,1998.88993566568,"ok","ok","ok"
445,1999.88153449123,"ok","ok","ok"
446,2000.86947578625,"problem","ok","ok"
447,2001.87171239985,"ok","ok","ok"
448,2002.86835138663,"ok","ok","ok"
449,2003.871869019,"problem","problem","ok"
450,2004.86234744698,"ok","ok","ok"
451,2005.85933957062,"ok","ok","ok"
452,2006.85186125829,"problem","ok","ok"
453,2007.85209939839,"ok","ok","ok"
454,2008.8588630664,"ok","ok","problem"
455,2009.88546649625,"ok","ok","ok"
456,2010.88925636401,"ok","ok","ok"
457,2011.84434596112,"problem","ok","ok"
458,2011.93780094179,"ok","ok","ok"
459,2012.86774420729,"problem","ok","ok"
460,2013.81991345622,"ok","ok","ok"
461,2013.89703541147,"ok","ok","ok"
462,2013.95151927316,"ok","ok","ok"
463,2014.83643174165,"ok","ok","ok"
464,2014.932927216,"ok","ok","ok"
465,2015.88828192067,"ok","ok","ok"
466,2016.88750311752,"ok","ok","ok"
467,2017.88277446195,"ok","ok","ok"
468,2018.8697611585,"ok","ok","ok"
469,2019.8724374785,"ok","ok","ok"
470,2020.8767151292,"problem","problem","ok"
471,2021.88522268712,"ok","ok","ok"
472,2022.88284473622,"ok","ok","ok"
473,2023.8920896178,"ok","ok","ok"
474,2024.88324000154,"ok","ok","ok"
475,2025.88183877507,"ok","ok","ok"
476,2026.87272539224,"problem","problem","ok"
477,2027.8199416856,"ok","ok","ok"
478,2027.91578897201,"ok","ok","ok"
479,2028.8660641234,"ok","ok","ok"
480,2029.86759088699,"ok","ok","ok"
481,2031.87914332396,"ok","ok","ok"
482,2032.88933478898,"problem","problem","ok"
483,2033.89132665438,"ok","ok","ok"
484,2034.88729882313,"ok","ok","ok"
485,2035.88874732865,"ok","ok","ok"
486,2036.88499072618,"ok","ok","ok"
487,2037.88323412561,"ok","ok","ok"
488,2038.88323053327,"ok","ok","ok"
489,2039.88836721794,"problem","ok","ok"
490,2040.88881360538,"ok","ok","ok"
491,2041.88783644755,"problem","ok","ok"
492,2042.883116919,"ok","ok","ok"
493,2043.88792904817,"ok","ok","ok"
494,2044.88698723541,"ok","ok","ok"
495,2046.8826476954,"ok","ok","problem"
496,2047.88756194726,"ok","ok","problem"
497,2048.88385537597,"ok","ok","ok"
498,2049.88297959617,"problem","ok","problem"
499,2050.8820178045,"problem","ok","ok"
500,2051.88418364461,"ok","ok","ok"
501,2052.88567661712,"ok","ok","ok"
502,2053.8888807299,"ok","ok","ok"
503,2054.89719947618,"ok","ok","ok"
504,2055.90408326894,"ok","problem","problem"
505,2056.90385792823,"problem","problem","ok"
506,2057.8988558386,"problem","ok","ok"
507,2058.89198584196,"problem","problem","ok"
508,2059.88997072474,"ok","ok","ok"
509,2060.89085413675,"ok","ok","ok"
510,2061.89441657827,"ok","ok","ok"
511,2062.89888591765,"problem","ok","ok"
512,2063.90527672443,"problem","ok","ok"
513,2064.90652749088,"problem","ok","ok"
514,2065.90418181816,"ok","ok","ok"
515,2066.90160786296,"problem","problem","ok"
516,2067.89816342825,"ok","ok","ok"
517,2068.896355092,"ok","ok","ok"
518,2075.89775833848,"problem","problem","ok"
519,2076.90372597657,"problem","ok","ok"
520,2077.9111261132,"problem","ok","ok"
521,2078.92255876142,"ok","ok","ok"
522,2079.93629296527,"ok","ok","ok"
523,2080.93824726221,"problem","ok","problem"
524,2081.92876267464,"ok","ok","ok"
525,2082.93444782677,"ok","ok","ok"
526,2083.9097661488,"ok","ok","ok"
527,2084.90935067461,"ok","ok","ok"
528,2085.925428415,"ok","ok","ok"
529,2091.92316167227,"ok","ok","ok"
530,2093.98654925015,"ok","ok","ok"
531,2095.96584943675,"problem","ok","ok"
532,2097.99708741592,"ok","problem","problem"
533,2101.939745938,"ok","ok","ok"
534,2102.92253760621,"ok","ok","ok"
535,2103.91613017264,"ok","ok","ok"
536,2104.92010877239,"ok","ok","ok"
537,2105.92788711298,"ok","ok","ok"
538,2106.93770082481,"ok","ok","ok"
539,2107.93553076075,"problem","ok","ok"
540,2108.93821794113,"ok","ok","ok"
541,2109.93912899305,"ok","ok","ok"
542,2110.94050321616,"ok","ok","ok"
543,2111.93693948577,"ok","ok","ok"
544,2112.93936647626,"ok","ok","ok"
545,2113.9432946244,"ok","ok","ok"
546,2114.95224941909,"ok","ok","ok"
547,2115.94791684451,"ok","ok","ok"
548,2116.94150955251,"ok","ok","ok"
549,2117.93627824716,"ok","ok","ok"
550,2119.96267323225,"problem","ok","ok"
551,2121.95603379997,"problem","ok","ok"
552,2122.94857797191,"ok","ok","ok"
553,2123.93997282506,"ok","ok","ok"
554,2124.93711138816,"problem","problem","ok"
555,2125.93481004205,"ok","problem","ok"
556,2127.93694615124,"ok","ok","ok"
557,2129.93039742824,"problem","ok","ok"
558,2130.94202117913,"problem","ok","ok"
559,2131.94278434273,"ok","ok","ok"
560,2132.94136515519,"problem","ok","ok"
561,2133.94063416677,"problem","ok","ok"
562,2135.95437547966,"problem","ok","ok"
563,2138.94617591243,"problem","ok","ok"
564,2139.9395111156,"ok","ok","ok"
565,2140.9387394462,"ok","ok","ok"
566,2141.93643488342,"ok","ok","ok"
567,2142.94002338575,"problem","ok","ok"
568,2143.94082383414,"ok","ok","ok"
569,2144.94236067445,"ok","ok","ok"
570,2145.94685209891,"ok","ok","ok"
571,2146.94313201542,"ok","problem","ok"
572,2147.93739212121,"ok","problem","ok"
573,2148.93904056736,"ok","problem","ok"
574,2150.95399793115,"ok","problem","ok"
575,2151.95166819198,"ok","ok","ok"
576,2154.95145732761,"ok","ok","ok"
577,2157.93959477591,"problem","ok","ok"
578,2158.93813388219,"ok","ok","ok"
579,2159.93561912069,"ok","ok","ok"
580,2160.93892576198,"ok","ok","ok"
581,2161.94113052688,"ok","ok","ok"
582,2162.94227549429,"ok","ok","ok"
583,2163.94060786451,"ok","ok","problem"
584,2164.94528676014,"ok","ok","ok"
585,2165.94934251082,"ok","ok","ok"
586,2167.95571043796,"ok","ok","problem"
587,2168.95008182931,"problem","ok","ok"
588,2169.93755673511,"ok","ok","ok"
589,2171.94006480859,"ok","ok","ok"
590,2172.93851520726,"ok","ok","ok"
591,2173.93834294461,"ok","ok","ok"
592,2174.94301582336,"ok","ok","ok"
593,2175.94879938863,"ok","ok","ok"
594,2176.95389821768,"ok","ok","ok"
595,2177.95513503348,"ok","ok","ok"
596,2178.95224421058,"ok","ok","ok"
597,2179.95870400381,"problem","ok","problem"
598,2180.93114059319,"ok","ok","ok"
599,2181.02640366053,"problem","problem","ok"
600,2181.91960667549,"ok","ok","ok"
601,2182.0159143297,"problem","ok","ok"
602,2182.9589336923,"problem","ok","ok"
603,2183.95964592491,"problem","ok","ok"
604,2184.95442327895,"ok","ok","ok"
605,2189.96327470773,"ok","problem","problem"
606,2190.96796620095,"problem","ok","problem"
607,2191.95795804245,"problem","ok","ok"
608,2192.95303335678,"problem","ok","ok"
609,2193.95345839275,"problem","ok","ok"
610,2194.95170786941,"ok","ok","ok"
611,2195.95258844469,"ok","ok","ok"
612,2196.9566590584,"ok","ok","ok"
613,2197.96104105079,"problem","ok","ok"
614,2198.96433290847,"problem","ok","ok"
615,2200.97107231448,"problem","ok","ok"
616,2201.9693876688,"ok","ok","ok"
617,2202.96769283756,"problem","ok","problem"
618,2203.9648957619,"ok","ok","ok"
619,2206.98867405277,"problem","ok","problem"
620,2207.99397471492,"ok","ok","ok"
621,2208.98942126706,"ok","ok","ok"
622,2209.98022102158,"problem","ok","ok"
623,2210.97185562553,"ok","ok","ok"
624,2212.97876396891,"ok","ok","problem"
625,2213.98683738982,"problem","ok","ok"
626,2214.99325475796,"ok","ok","ok"
627,2217.98047174573,"problem","ok","ok"
628,2218.97807678529,"problem","ok","ok"
629,2219.97479416852,"problem","ok","ok"
630,2220.97366987208,"problem","ok","ok"
631,2221.97753953047,"problem","ok","ok"
632,2223.0061335284,"ok","ok","ok"
633,2225.03032185013,"ok","ok","ok"
634,2233.98922485319,"problem","ok","problem"
635,2234.98450738945,"problem","ok","problem"
636,2235.98213114816,"problem","ok","problem"
637,2236.98403647555,"problem","ok","ok"
638,2237.98234098959,"ok","ok","ok"
639,2238.99861916418,"ok","ok","ok"
640,2240.00580854342,"ok","ok","ok"
641,2241.00108397222,"ok","ok","problem"
642,2244.99196826006,"ok","ok","problem"
643,2245.99831664931,"ok","ok","problem"
644,2247.02414973145,"problem","ok","problem"
645,2248.03614315244,"ok","ok","ok"
646,2249.03011417501,"ok","ok","problem"
647,2252.00329442542,"problem","ok","ok"
648,2252.99390684659,"ok","ok","ok"
649,2253.99277392542,"ok","ok","ok"
650,2254.9918882491,"ok","problem","ok"
651,2255.9968216557,"ok","ok","ok"
652,2257.00088782499,"ok","ok","ok"
653,2257.99361463794,"problem","ok","problem"
654,2260.99253689726,"problem","ok","problem"
655,2263.00219041757,"problem","ok","problem"
656,2264.0061210048,"problem","ok","problem"
657,2265.01293032965,"problem","ok","ok"
658,2266.01176471935,"ok","problem","ok"
659,2267.00598533054,"ok","problem","ok"
660,2268.0024376229,"ok","ok","ok"
661,2269.01015080321,"ok","ok","problem"
662,2270.01246366536,"ok","ok","ok"
663,2271.00606284626,"ok","ok","ok"
664,2272.00116725567,"problem","ok","problem"
665,2275.98855362101,"ok","ok","ok"
666,2277.05387493478,"ok","ok","ok"
667,2278.05023924437,"problem","ok","problem"
668,2279.0461592946,"problem","problem","ok"
669,2290.99781183401,"problem","ok","ok"
670,2292.00381442642,"ok","ok","ok"
671,2293.00742732683,"problem","problem","problem"
672,2294.01137722088,"ok","ok","ok"
673,2295.0119271597,"ok","ok","ok"
674,2296.00977778923,"ok","ok","ok"
675,2306.02313613602,"ok","ok","ok"
676,2307.02232586927,"problem","ok","ok"
677,2308.02602402723,"problem","ok","ok"
678,2309.02103389658,"ok","ok","ok"
679,2315.00943383685,"problem","ok","problem"
680,2316.00949880743,"problem","ok","problem"
681,2324.02792026937,"ok","ok","ok"
682,2330.02558798282,"ok","ok","problem"
683,2331.02560942794,"problem","ok","ok"
684,2332.02536131549,"ok","ok","ok"
685,2333.03488259794,"problem","ok","ok"
686,2348.05761431372,"ok","ok","problem"
687,2364.07543676985,"ok","ok","problem"
688,2378.06874876867,"problem","ok","ok"
689,2386.05312520088,"ok","ok","ok"
690,2439.05746225708,"ok","problem","ok"
