monoisotope,isotope_1,isotope_2,isotope_type_1,isotope_type_2,charge_1,charge_2
887.405593322322,0.0,0.0,0.0,0.0,0.0,0.0
897.438667890744,0.0,0.0,0.0,0.0,0.0,0.0
898.445541174031,0.0,0.0,0.0,0.0,0.0,0.0
900.433009899455,0.0,0.0,0.0,0.0,0.0,0.0
901.420339749707,0.0,0.0,0.0,0.0,0.0,0.0
914.449399626338,0.0,0.0,0.0,0.0,0.0,0.0
1001.51011129799,0.0,0.0,0.0,0.0,0.0,0.0
1019.48791137555,0.0,0.0,0.0,0.0,0.0,0.0
1034.57167603817,0.0,0.0,0.0,0.0,0.0,0.0
1040.47919789807,0.0,0.0,0.0,0.0,0.0,0.0
1041.52564174139,0.0,0.0,0.0,0.0,0.0,0.0
1042.5247914212,0.0,0.0,0.0,0.0,0.0,0.0
1056.56138782542,0.0,0.0,0.0,0.0,0.0,0.0
1063.51293243265,0.0,0.0,0.0,0.0,0.0,0.0
1082.61404196403,0.0,0.0,0.0,0.0,0.0,0.0
1083.61405637683,0.0,0.0,0.0,0.0,0.0,0.0
1084.57848255814,0.0,0.0,0.0,0.0,0.0,0.0
1098.55957401443,0.0,0.0,0.0,0.0,0.0,0.0
1105.58669340912,0.0,0.0,0.0,0.0,0.0,0.0
1115.53862108953,0.0,0.0,0.0,0.0,0.0,0.0
1116.52558931557,0.0,0.0,0.0,0.0,0.0,0.0
1118.49100876842,0.0,0.0,0.0,0.0,0.0,0.0
1119.50363320143,0.0,0.0,0.0,0.0,0.0,0.0
1120.52428160339,0.0,0.0,0.0,0.0,0.0,0.0
1121.53115030257,0.0,0.0,0.0,0.0,0.0,0.0
1122.53277418001,0.0,0.0,0.0,0.0,0.0,0.0
1123.5394726898,0.0,0.0,0.0,0.0,0.0,0.0
1125.52680698436,0.0,0.0,0.0,0.0,0.0,0.0
1126.51715546318,0.0,0.0,0.0,0.0,0.0,0.0
1127.52463086473,0.0,0.0,0.0,0.0,0.0,0.0
1128.51805545387,0.0,0.0,0.0,0.0,0.0,0.0
1129.51091267219,0.0,0.0,0.0,0.0,0.0,0.0
1137.52295324413,0.0,0.0,0.0,0.0,0.0,0.0
1138.51305957371,0.0,0.0,0.0,0.0,0.0,0.0
1139.57433964941,0.0,0.0,0.0,0.0,0.0,0.0
1140.56199816686,0.0,0.0,0.0,0.0,0.0,0.0
1142.52290681149,0.0,0.0,0.0,0.0,0.0,0.0
1143.52120633473,0.0,0.0,0.0,0.0,0.0,0.0
1144.52071586226,0.0,0.0,0.0,0.0,0.0,0.0
1147.50883032722,0.0,0.0,0.0,0.0,0.0,0.0
1148.50816686715,1149.50738087991,0.0,1.0,0.0,1.0,0.0
1150.5039114027,0.0,0.0,0.0,0.0,0.0,0.0
1154.55170296623,0.0,0.0,0.0,0.0,0.0,0.0
1155.53191227963,0.0,0.0,0.0,0.0,0.0,0.0
1156.51216713311,0.0,0.0,0.0,0.0,0.0,0.0
1159.50498247147,0.0,0.0,0.0,0.0,0.0,0.0
1160.50786060544,0.0,0.0,0.0,0.0,0.0,0.0
1161.55625355941,0.0,0.0,0.0,0.0,0.0,0.0
1162.54132473866,0.0,0.0,0.0,0.0,0.0,0.0
1163.52108968471,0.0,0.0,0.0,0.0,0.0,0.0
1164.49387725119,0.0,0.0,0.0,0.0,0.0,0.0
1165.50398312241,0.0,0.0,0.0,0.0,0.0,0.0
1166.50942571565,0.0,0.0,0.0,0.0,0.0,0.0
1171.52024347845,0.0,0.0,0.0,0.0,0.0,0.0
1172.51543404085,0.0,0.0,0.0,0.0,0.0,0.0
1173.51602670001,0.0,0.0,0.0,0.0,0.0,0.0
1174.5320958453,0.0,0.0,0.0,0.0,0.0,0.0
1175.5311947861,0.0,0.0,0.0,0.0,0.0,0.0
1176.5367277782,0.0,0.0,0.0,0.0,0.0,0.0
1177.52549332271,0.0,0.0,0.0,0.0,0.0,0.0
1178.50799041751,0.0,0.0,0.0,0.0,0.0,0.0
1179.53384922051,0.0,0.0,0.0,0.0,0.0,0.0
1180.52899164009,0.0,0.0,0.0,0.0,0.0,0.0
1181.52547865588,0.0,0.0,0.0,0.0,0.0,0.0
1182.51316130403,0.0,0.0,0.0,0.0,0.0,0.0
1183.53761411604,0.0,0.0,0.0,0.0,0.0,0.0
1186.51609218792,0.0,0.0,0.0,0.0,0.0,0.0
1188.52935913545,0.0,0.0,0.0,0.0,0.0,0.0
1193.51086194368,0.0,0.0,0.0,0.0,0.0,0.0
1194.50621822657,0.0,0.0,0.0,0.0,0.0,0.0
1197.54306584718,0.0,0.0,0.0,0.0,0.0,0.0
1198.52464127533,0.0,0.0,0.0,0.0,0.0,0.0
1199.51525080754,0.0,0.0,0.0,0.0,0.0,0.0
1201.52518940543,0.0,0.0,0.0,0.0,0.0,0.0
1202.51566691822,0.0,0.0,0.0,0.0,0.0,0.0
1203.53411711069,1204.52671884741,0.0,1.0,0.0,1.0,0.0
1205.54041215004,0.0,0.0,0.0,0.0,0.0,0.0
1211.599518944,0.0,0.0,0.0,0.0,0.0,0.0
1212.60416319077,0.0,0.0,0.0,0.0,0.0,0.0
1213.56766221731,0.0,0.0,0.0,0.0,0.0,0.0
1226.56387087639,0.0,0.0,0.0,0.0,0.0,0.0
1227.55952451199,0.0,0.0,0.0,0.0,0.0,0.0
1233.57735053371,1234.57384637318,0.0,1.0,0.0,1.0,0.0
1242.57369677527,1243.56956634534,0.0,1.0,0.0,1.0,0.0
1244.55536377541,0.0,0.0,0.0,0.0,0.0,0.0
1248.54982572055,0.0,0.0,0.0,0.0,0.0,0.0
1249.55294965558,0.0,0.0,0.0,0.0,0.0,0.0
1257.57240475916,1258.56524809841,0.0,1.0,0.0,1.0,0.0
1264.55327615647,0.0,0.0,0.0,0.0,0.0,0.0
1265.55732761381,0.0,0.0,0.0,0.0,0.0,0.0
1271.54476764759,0.0,0.0,0.0,0.0,0.0,0.0
1279.56043538041,0.0,0.0,0.0,0.0,0.0,0.0
1280.57810789172,0.0,0.0,0.0,0.0,0.0,0.0
1281.57880044384,0.0,0.0,0.0,0.0,0.0,0.0
1283.61665001281,0.0,0.0,0.0,0.0,0.0,0.0
1284.60254706233,0.0,0.0,0.0,0.0,0.0,0.0
1285.59511497093,0.0,0.0,0.0,0.0,0.0,0.0
1286.58550113192,0.0,0.0,0.0,0.0,0.0,0.0
1287.5933259557,0.0,0.0,0.0,0.0,0.0,0.0
1288.57441653481,0.0,0.0,0.0,0.0,0.0,0.0
1302.62071439303,1303.62023652396,0.0,1.0,0.0,1.0,0.0
1304.61983280979,0.0,0.0,0.0,0.0,0.0,0.0
1305.59068141676,0.0,0.0,0.0,0.0,0.0,0.0
1306.5817176307,1307.58021271394,0.0,1.0,0.0,1.0,0.0
1308.5796694417,1309.57554701653,0.0,1.0,0.0,1.0,0.0
1321.56896537668,1322.56732576098,0.0,1.0,0.0,1.0,0.0
1324.61450421181,1325.60438137977,1326.597114406,1.0,2.0,1.0,1.0
1327.58787295044,0.0,0.0,0.0,0.0,0.0,0.0
1328.58204227353,0.0,0.0,0.0,0.0,0.0,0.0
1336.5532502072,0.0,0.0,0.0,0.0,0.0,0.0
1337.55680746238,0.0,0.0,0.0,0.0,0.0,0.0
1340.59156765347,0.0,0.0,0.0,0.0,0.0,0.0
1341.59364410222,0.0,0.0,0.0,0.0,0.0,0.0
1343.64447861135,1344.65327082372,0.0,1.0,0.0,1.0,0.0
1345.64246070867,0.0,0.0,0.0,0.0,0.0,0.0
1346.6043607699,0.0,0.0,0.0,0.0,0.0,0.0
1348.59326782985,1349.59064156857,0.0,1.0,0.0,1.0,0.0
1350.60197929673,0.0,0.0,0.0,0.0,0.0,0.0
1351.59776013008,0.0,0.0,0.0,0.0,0.0,0.0
1359.59674536914,1360.6041827912,0.0,1.0,0.0,1.0,0.0
1364.58583919379,0.0,0.0,0.0,0.0,0.0,0.0
1365.63672939028,0.0,0.0,0.0,0.0,0.0,0.0
1366.63042222723,1367.63239622497,1368.62463800899,1.0,1.0,1.0,1.0
1373.58857790521,0.0,0.0,0.0,0.0,0.0,0.0
1380.63641531605,0.0,0.0,0.0,0.0,0.0,0.0
1381.63759981425,1382.63146446901,0.0,1.0,0.0,1.0,0.0
1383.620499714,0.0,0.0,0.0,0.0,0.0,0.0
1384.63410175333,0.0,0.0,0.0,0.0,0.0,0.0
1385.62240769213,0.0,0.0,0.0,0.0,0.0,0.0
1386.63229711732,1387.62479276227,0.0,1.0,0.0,1.0,0.0
1388.61734754366,0.0,0.0,0.0,0.0,0.0,0.0
1389.61128051676,0.0,0.0,0.0,0.0,0.0,0.0
1390.60658270639,0.0,0.0,0.0,0.0,0.0,0.0
1397.64742879142,0.0,0.0,0.0,0.0,0.0,0.0
1398.65069021494,0.0,0.0,0.0,0.0,0.0,0.0
1399.64898847532,1400.64307146714,0.0,1.0,0.0,1.0,0.0
1401.63252234769,1402.63165800594,0.0,1.0,0.0,1.0,0.0
1403.63210119272,1404.62042219742,0.0,1.0,0.0,1.0,0.0
1405.60825729967,0.0,0.0,0.0,0.0,0.0,0.0
1406.67155317073,0.0,0.0,0.0,0.0,0.0,0.0
1407.66223562051,0.0,0.0,0.0,0.0,0.0,0.0
1408.64299013563,0.0,0.0,0.0,0.0,0.0,0.0
1409.62350828748,0.0,0.0,0.0,0.0,0.0,0.0
1410.65884790283,1411.65263646274,0.0,1.0,0.0,1.0,0.0
1412.64008475978,0.0,0.0,0.0,0.0,0.0,0.0
1419.62710754352,0.0,0.0,0.0,0.0,0.0,0.0
1420.62590934393,0.0,0.0,0.0,0.0,0.0,0.0
1421.61985038003,0.0,0.0,0.0,0.0,0.0,0.0
1422.63029677159,0.0,0.0,0.0,0.0,0.0,0.0
1423.62919562382,0.0,0.0,0.0,0.0,0.0,0.0
1424.62270802291,0.0,0.0,0.0,0.0,0.0,0.0
1425.63123022866,0.0,0.0,0.0,0.0,0.0,0.0
1426.66930469839,0.0,0.0,0.0,0.0,0.0,0.0
1427.64679603133,1428.65891124135,0.0,1.0,0.0,1.0,0.0
1429.65735611396,0.0,0.0,0.0,0.0,0.0,0.0
1430.64433970431,0.0,0.0,0.0,0.0,0.0,0.0
1431.63007968643,0.0,0.0,0.0,0.0,0.0,0.0
1432.64813881096,1433.64967521464,0.0,1.0,0.0,1.0,0.0
1434.63541081793,0.0,0.0,0.0,0.0,0.0,0.0
1437.62660295136,0.0,0.0,0.0,0.0,0.0,0.0
1438.67131449792,0.0,0.0,0.0,0.0,0.0,0.0
1439.66636705065,0.0,0.0,0.0,0.0,0.0,0.0
1440.66346247685,0.0,0.0,0.0,0.0,0.0,0.0
1441.64100099373,0.0,0.0,0.0,0.0,0.0,0.0
1442.62706983267,0.0,0.0,0.0,0.0,0.0,0.0
1443.62502441691,0.0,0.0,0.0,0.0,0.0,0.0
1444.62992910786,0.0,0.0,0.0,0.0,0.0,0.0
1445.62960762399,0.0,0.0,0.0,0.0,0.0,0.0
1446.64554866624,0.0,0.0,0.0,0.0,0.0,0.0
1447.65305221415,0.0,0.0,0.0,0.0,0.0,0.0
1448.644817249,0.0,0.0,0.0,0.0,0.0,0.0
1449.63357812162,0.0,0.0,0.0,0.0,0.0,0.0
1450.64400093342,1451.63121850304,0.0,1.0,0.0,1.0,0.0
1454.63786083698,0.0,0.0,0.0,0.0,0.0,0.0
1455.63953404884,0.0,0.0,0.0,0.0,0.0,0.0
1458.68722390776,0.0,0.0,0.0,0.0,0.0,0.0
1459.66565151175,1460.66385865229,0.0,1.0,0.0,1.0,0.0
1461.65256129344,0.0,0.0,0.0,0.0,0.0,0.0
1462.64110458656,0.0,0.0,0.0,0.0,0.0,0.0
1463.63155707884,0.0,0.0,0.0,0.0,0.0,0.0
1464.62044546326,1466.63876010977,0.0,4.0,0.0,1.0,0.0
1465.62107455186,0.0,0.0,0.0,0.0,0.0,0.0
1467.64838621532,0.0,0.0,0.0,0.0,0.0,0.0
1468.6471622815,0.0,0.0,0.0,0.0,0.0,0.0
1469.64710914988,0.0,0.0,0.0,0.0,0.0,0.0
1470.63973008949,1472.64797486398,0.0,2.0,0.0,1.0,0.0
1471.63414988055,0.0,0.0,0.0,0.0,0.0,0.0
1473.64792978811,0.0,0.0,0.0,0.0,0.0,0.0
1474.64729881029,0.0,0.0,0.0,0.0,0.0,0.0
1475.63066673916,0.0,0.0,0.0,0.0,0.0,0.0
1476.63992639656,1477.65371476599,1478.65699708155,1.0,1.0,1.0,1.0
1479.64824861643,0.0,0.0,0.0,0.0,0.0,0.0
1480.68426567711,0.0,0.0,0.0,0.0,0.0,0.0
1481.66946943171,0.0,0.0,0.0,0.0,0.0,0.0
1482.6626423496,0.0,0.0,0.0,0.0,0.0,0.0
1483.71049948275,1484.71823403765,0.0,1.0,0.0,1.0,0.0
1485.70799673828,0.0,0.0,0.0,0.0,0.0,0.0
1486.66474233174,0.0,0.0,0.0,0.0,0.0,0.0
1487.63278970811,0.0,0.0,0.0,0.0,0.0,0.0
1488.63803785251,0.0,0.0,0.0,0.0,0.0,0.0
1492.62303504293,0.0,0.0,0.0,0.0,0.0,0.0
1493.68968061836,0.0,0.0,0.0,0.0,0.0,0.0
1494.68720093206,0.0,0.0,0.0,0.0,0.0,0.0
